id,brand,name,species,category,variants,image_url
cat-chow-adulto-carne,purina,Cat Chow Adulto Carne,cat,dry,500g|1.5kg|8kg,https://amicotti.ecobonsaicraft.com/images/purina/cat-chow-adulto-carne.jpg
cat-chow-adulto-pescado,purina,Cat Chow Adulto Pescado,cat,dry,500g|1.5kg|8kg,https://amicotti.ecobonsaicraft.com/images/purina/cat-chow-adulto-pescado.jpg
cat-chow-adulto-esterilizado,purina,Cat Chow Adulto Esterilizado,cat,dry,500g|1.5kg|8kg,https://amicotti.ecobonsaicraft.com/images/purina/cat-chow-adulto-esterilizado.jpg
cat-chow-gatitos-prebioticos,purina,Cat Chow Gatitos Prebióticos,cat,dry,500g|1.5kg,https://amicotti.ecobonsaicraft.com/images/purina/cat-chow-gatitos-prebioticos.jpg
fancy-feast-pollo-85g,purina,Fancy Feast Pollo 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-pollo-85g.jpg
fancy-feast-pavo-85g,purina,Fancy Feast Pavo 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-pavo-85g.jpg
fancy-feast-atun-85g,purina,Fancy Feast Atún 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-atun-85g.jpg
fancy-feast-salmon-85g,purina,Fancy Feast Salmón 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-salmon-85g.jpg
fancy-feast-cass-tuna-85g,purina,Fancy Feast Cass Tuna 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-cass-tuna-85g.jpg
fancy-feast-demi-glace-85g,purina,Fancy Feast Demi Glace 85g,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/fancy-feast-demi-glace-85g.jpg
felix-sobres-atun,purina,Felix Atún,cat,wet,85g,https://amicotti.ecobonsaicraft.com/images/purina/felix-sobres-atun.jpg
