id,brand,name,species,category,variants,image_url
royal-puppy-pro-tech-perro,royal canin,Puppy Pro Tech,dog,dry,300g,
royal-babydog-milk-perro,royal canin,Babydog Milk,dog,dry,unidad,
royal-starter-mousse-mother-babydog-perro,royal canin,Starter Mousse Mother & Babydog,dog,dry,195g,
royal-x-small-puppy-perro,royal canin,X - Small Puppy,dog,dry,500g|1.5kg,
royal-size-xs-x-small-adult-perro,royal canin,Size Xs X - Small Adult,dog,dry,500g|1.5kg,
royal-size-xs-x-small-adult-8-perro,royal canin,Size Xs X - Small Adult 8+,dog,dry,500g|1.5kg,
royal-mini-starter-perro,royal canin,Mini Starter,dog,dry,1kg,
royal-mini-puppy-perro,royal canin,Mini Puppy,dog,dry,800g|2kg|4kg,
royal-size-s-mini-adult-perro,royal canin,Size S Mini Adult,dog,dry,2kg|4kg|8kg,
royal-mini-sterilised-perro,royal canin,Mini Sterilised,dog,dry,3kg|8kg,
royal-mini-light-weight-care-perro,royal canin,Mini Light Weight Care,dog,dry,1kg|3kg,
royal-mini-dermacomfort-perro,royal canin,Mini Dermacomfort,dog,dry,1kg|3kg|8kg,
royal-size-s-mini-adult-8-perro,royal canin,Size S Mini Adult 8+,dog,dry,2kg,
royal-medium-starter-perro,royal canin,Medium Starter,dog,dry,1kg|4kg,
royal-medium-puppy-perro,royal canin,Medium Puppy,dog,dry,1kg|4kg,
royal-medium-puppy-15k-perro,royal canin,Medium Puppy 15K,dog,dry,unidad,
royal-medium-adult-perro,royal canin,Medium Adult,dog,dry,4kg,
royal-medium-adult-15k-perro,royal canin,Medium Adult 15K,dog,dry,unidad,
royal-medium-light-weight-care-perro,royal canin,Medium Light Weight Care,dog,dry,3kg|12kg,
royal-medium-dermaconfort-perro,royal canin,Medium Dermaconfort,dog,dry,3kg|12kg,
royal-medium-adult-7-perro,royal canin,Medium Adult 7+,dog,dry,4kg|15kg,
royal-maxi-starter-perro,royal canin,Maxi Starter,dog,dry,4kg|15kg,
royal-maxi-puppy-perro,royal canin,Maxi Puppy,dog,dry,1kg,
royal-maxipuppy-perro,royal canin,Maxipuppy,dog,dry,4kg,
royal-maxi-puppy-15k-perro,royal canin,Maxi Puppy 15K,dog,dry,unidad,
royal-size-l-maxi-adult-perro,royal canin,Size L Maxi Adult,dog,dry,4kg|15kg,
royal-maxi-light-weight-care-perro,royal canin,Maxi Light Weight Care,dog,dry,3kg|12kg,
royal-maxi-dermacomforte-perro,royal canin,Maxi Dermacomforte,dog,dry,3kg|12kg,
royal-size-maxi-adult-5-perro,royal canin,Size Maxi Adult 5+,dog,dry,4kg|15kg,
royal-mini-puppy-x-12-perro,royal canin,Mini Puppy X 12,dog,wet,85g,
royal-mini-adult-x-12-perro,royal canin,Mini Adult X 12,dog,wet,85g,
royal-medium-puppy-x-10-perro,royal canin,Medium Puppy X 10,dog,wet,140g,
royal-m-edi-um-adult-x-10-perro,royal canin,M Edi Um Adult X 10,dog,wet,140g,
royal-maxi-puppy-x-10-perro,royal canin,Maxi Puppy X 10,dog,wet,140g,
royal-max-i-adult-x-10-perro,royal canin,Max I Adult X 10,dog,wet,140g,
royal-pomeranian-perro,royal canin,Pomeranian,dog,dry,1.5kg,
royal-chihuahua-puppy-perro,royal canin,Chihuahua Puppy,dog,dry,500g|1.5kg,
royal-chihuahua-adult-perro,royal canin,Chihuahua Adult,dog,dry,1.5kg,
royal-yorkshire-terrier-puppy-perro,royal canin,Yorkshire Terrier Puppy,dog,dry,1.5kg,
royal-yorkshire-terrier-adult-perro,royal canin,Yorkshire Terrier Adult,dog,dry,1.5kg|3kg,
royal-poodle-puppy-perro,royal canin,Poodle Puppy,dog,dry,3kg,
royal-poodle-adult-perro,royal canin,Poodle Adult,dog,dry,1.5kg,
royal-shih-tzu-puppy-perro,royal canin,Shih Tzu Puppy,dog,dry,1.5kg,
royal-shih-tzu-perro,royal canin,Shih Tzu,dog,dry,500g,
royal-shih-tzu-adult-perro,royal canin,Shih Tzu Adult,dog,dry,1.5kg,
royal-pug-puppy-perro,royal canin,Pug Puppy,dog,dry,1.5kg,
royal-pug-adult-perro,royal canin,Pug Adult,dog,dry,1.5kg,
royal-french-bulldog-puppy-perro,royal canin,French Bulldog Puppy,dog,dry,3kg|10kg,
royal-french-bulldog-adult-perro,royal canin,French Bulldog Adult,dog,dry,3kg|9kg,
royal-bulldog-puppy-perro,royal canin,Bulldog Puppy,dog,dry,3kg|12kg,
royal-bulldog-adult-perro,royal canin,Bulldog Adult,dog,dry,3kg|12kg,
royal-golden-retriever-adult-perro,royal canin,Golden Retriever Adult,dog,dry,3kg|12kg,
royal-yorkshire-terrier-adult-perro,royal canin,Yorkshire Terrier Adult,dog,wet,85g,
royal-chihuahua-adult-perro,royal canin,Chihuahua Adult,dog,wet,85g,
royal-kitten-persian-gato,royal canin,Kitten Persian,cat,dry,400g|2kg,
royal-persian-gato,royal canin,Persian,cat,dry,400g|2kg|10kg,
royal-persian-x-12-gato,royal canin,Persian X 12,cat,dry,85g,
royal-babycat-milk-gato,royal canin,Babycat Milk,cat,dry,300g,
royal-mother-babycat-gato,royal canin,Mother & Babycat,cat,dry,400g|2kg,
royal-kitten-gato,royal canin,Kitten,cat,dry,400g|2kg,
royal-kitten-sterilised-gato,royal canin,Kitten Sterilised,cat,dry,400g|2kg,
royal-sterilised-gato,royal canin,Sterilised,cat,dry,400g|2kg|10kg,
